Width;Distance;Difficulty;Average Time;Error Rate;Clicks;Tester;Time Stamp
50;50;1;0.4159323;0.08333334;36;;21:33:30
25;50;2;0.7328865;0;20;;21:33:49
12.5;50;3;0.7314259;0.05;20;;21:34:08
6.25;50;4;0.9721667;0.1333333;15;;21:34:28
3.125;50;5;1.300201;0.09090909;11;;21:34:47
1.5625;50;6;1.775032;0.125;8;;21:35:07
100;100;1;0.340192;0.06976745;43;;21:35:27
50;100;2;0.6806786;0.1818182;22;;21:35:46
25;100;3;0.8033447;0;18;;21:36:06
12.5;100;4;1.046446;0.07142857;14;;21:36:25
6.25;100;5;1.197552;0;12;;21:36:45
3.125;100;6;1.401939;0.3;10;;21:37:04
150;150;1;0.2811245;0.01886792;53;;21:37:23
75;150;2;0.6961278;0;21;;21:37:43
37.5;150;3;0.8565835;0.05882353;17;;21:38:02
18.75;150;4;0.7831116;0;19;;21:38:21
9.375;150;5;0.955839;0;15;;21:38:39
4.6875;150;6;1.783656;0;7;;21:38:59
200;200;1;0.3364618;0.02272727;44;;21:39:17
100;200;2;0.5772658;0.1538462;26;;21:39:37
50;200;3;0.7714876;0;19;;21:39:56
25;200;4;0.8208449;0;18;;21:40:15
12.5;200;5;1.224749;0.1666667;12;;21:40:35
6.25;200;6;1.43215;0.1;10;;21:40:54
250;250;1;0.3656006;0;41;;21:41:13
125;250;2;0.5053785;0.06896552;29;;21:41:32
62.5;250;3;0.7382797;0.05;20;;21:41:51
31.25;250;4;0.8102925;0;18;;21:42:10
15.625;250;5;0.9645223;0.06666667;15;;21:42:30
7.8125;250;6;1.042678;0;13;;21:42:49
