Width;Distance;Difficulty;Average Time;Error Rate;Clicks;Tester;Time Stamp
50;50;1;1.814003;0;8;;18:28:23
25;50;2;1.767584;0.125;8;;18:28:43
12.5;50;3;2.439317;0;6;;18:29:07
6.25;50;4;3.644676;0;4;;18:29:30
3.125;50;5;3.716585;0;4;;18:29:56
1.5625;50;6;10.57225;0;1;;18:30:23
100;100;1;1.103354;0;13;;18:30:43
50;100;2;1.291784;0;11;;18:31:03
25;100;3;1.624516;0;8;;18:31:24
12.5;100;4;2.234048;0;5;;18:31:44
6.25;100;5;2.907394;0;4;;18:32:06
3.125;100;6;3.655701;0;4;;18:32:27
150;150;1;1.042171;0;14;;18:32:47
75;150;2;1.211639;0;12;;18:33:07
37.5;150;3;1.538066;0;9;;18:33:27
18.75;150;4;1.78915;0;7;;18:33:48
9.375;150;5;2.624207;0;5;;18:34:10
4.6875;150;6;5.219254;0;2;;18:34:33
200;200;1;0.9513184;0;15;;18:34:53
100;200;2;0.8191087;0;18;;18:35:13
50;200;3;1.130592;0;13;;18:35:33
25;200;4;1.572147;0;9;;18:35:53
12.5;200;5;3.083389;0;4;;18:36:17
6.25;200;6;4.202515;0;2;;18:36:39
250;250;1;0.7756669;0.05263158;19;;18:36:59
125;250;2;0.7024914;0;21;;18:37:19
62.5;250;3;1.185415;0.08333334;12;;18:37:38
31.25;250;4;1.786324;0;8;;18:37:58
15.625;250;5;1.752235;0;8;;18:38:19
7.8125;250;6;2.915906;0;5;;18:38:39
