Width;Distance;Difficulty;Average Time;Error Rate;Clicks;Tester;Time Stamp
50;50;1;1.482898;0.1111111;9;;13:07:14
25;50;2;1.951444;0;7;;13:07:33
12.5;50;3;3.533823;0;4;;13:07:54
6.25;50;4;3.498882;0;4;;13:08:15
3125;50;5;2.762426;0;3;;13:08:42
1.5625;50;6;6.538666;0;1;;13:09:05
100;100;1;1.059766;0.1538462;13;;13:09:26
50;100;2;1.243016;0;11;;13:09:46
25;100;3;1.656311;0;8;;13:10:05
12.5;100;4;2.123605;0;7;;13:10:25
6.25;100;5;2.273496;0.1666667;6;;13:10:58
3125;100;6;3.391205;0;3;;13:11:26
150;150;1;0.7585176;0.1052632;19;;13:11:46
75;150;2;0.9094238;0;16;;13:12:06
37.5;150;3;1.401837;0;10;;13:12:27
18.75;150;4;1.900774;0;7;;13:12:48
9375;150;5;2.862167;0;4;;13:13:14
4.6875;150;6;14.859789;0;1;;13:13:36
200;200;1;0.961438;0.06666667;15;;13:13:55
100;200;2;0.8800297;0;16;;13:14:14
50;200;3;1.480936;0.1;10;;13:14:34
25;200;4;2.11152;0;7;;13:14:55
12.5;200;5;4.010874;0;3;;13:15:14
6.25;200;6;3.638977;0;3;;13:15:38
250;250;1;0.734671;0;20;;13:15:58
125;250;2;1.051069;0;14;;13:16:18
62.5;250;3;1.099243;0;13;;13:16:39
31.25;250;4;1.381873;0.1;10;;13:16:59
15625;250;5;1.819824;0;8;;13:17:18
7.8125;250;6;3.212875;0;4;;13:17:41
