Control Type;Width;Distance;Difficulty;Average Time;Error Rate;Clicks;Tester;Time Stamp
AccelerationControl;200;200;1;1,917469;0;5;;15:01:04
AccelerationControl;9,375;150;5;3,280879;0,2;5;;15:01:26
AccelerationControl;25;100;3;2,127778;0,2;5;;15:01:42
AccelerationControl;200;200;1;1,35986;0;5;;15:01:58
AccelerationControl;31,25;250;4;2,999463;0;5;;15:02:19
AccelerationControl;100;200;2;2,822031;0;5;;15:02:38
AccelerationControl;9,375;150;5;3,031801;0,2;5;;15:02:59
AccelerationControl;15,625;250;5;3,000333;0,4;5;;15:03:21
AccelerationControl;100;100;1;1,452814;0,2;5;;15:03:34
AccelerationControl;31,25;250;4;2,610452;0;5;;15:03:53
AccelerationControl;25;50;2;1,456137;0;5;;15:04:06
AccelerationControl;18,75;150;4;2,385794;0,4;5;;15:04:26
AccelerationControl;100;200;2;2,380032;0;5;;15:04:44
AccelerationControl;125;250;2;2,659259;0;5;;15:05:28
AccelerationControl;18,75;150;4;2,172369;0,2;5;;15:05:46
AccelerationControl;12,5;50;3;1,55213;0,2;5;;15:06:03
AccelerationControl;25;50;2;1,256842;0;5;;15:06:15
AccelerationControl;50;200;3;2,423529;0;5;;15:06:33
AccelerationControl;62,5;250;3;2,743323;0;5;;15:06:51
AccelerationControl;15,625;250;5;3,501788;0,4;5;;15:07:14
AccelerationControl;12,5;200;5;2,61665;0,6;5;;15:07:33
AccelerationControl;25;50;2;1,366827;0;5;;15:07:45
AccelerationControl;100;100;1;1,062372;0;5;;15:07:57
AccelerationControl;50;50;1;1,227069;0;5;;15:08:09
AccelerationControl;12,5;100;4;2,071631;0;5;;15:08:25
PositionControl;125;250;2;1,183374;0;5;;15:09:10
PositionControl;100;200;2;1,166126;0;5;;15:09:20
PositionControl;100;200;2;1,083716;0;5;;15:09:30
PositionControl;150;150;1;0,7467529;0;5;;15:09:38
PositionControl;15,625;250;5;2,688818;0;5;;15:10:02
PositionControl;25;50;2;2,17981;0,2;5;;15:10:18
PositionControl;150;150;1;1,000964;0;5;;15:10:28
PositionControl;12,5;50;3;2,521497;0;5;;15:10:54
PositionControl;6,25;50;4;2,799695;0;5;;15:11:13
PositionControl;25;100;3;1,598816;0;5;;15:11:28
PositionControl;62,5;250;3;1,475366;0;5;;15:11:40
PositionControl;6,25;50;4;2,985083;0;5;;15:12:03
PositionControl;50;200;3;1,306799;0;5;;15:12:14
PositionControl;150;150;1;0,8240356;0;5;;15:12:23
PositionControl;125;250;2;0,9117187;0;5;;15:12:33
PositionControl;3,125;50;5;5,490393;0,2;5;;15:13:15
PositionControl;9,375;150;5;2,176245;0;5;;15:13:32
PositionControl;31,25;250;4;1,737;0;5;;15:13:47
PositionControl;100;100;1;0,6527832;0;5;;15:13:57
PositionControl;62,5;250;3;1,197632;0;5;;15:14:09
PositionControl;9,375;150;5;3,857873;0,2;5;;15:14:33
PositionControl;25;50;2;1,893945;0;5;;15:14:48
PositionControl;75;150;2;1,168896;0;5;;15:14:58
PositionControl;37,5;150;3;1,042078;0;5;;15:15:08
PositionControl;12,5;200;5;2,134949;0;5;;15:15:25
VelocityControl;250;250;1;0,665747;0;5;;15:15:34
VelocityControl;62,5;250;3;1,678333;0;5;;15:15:46
VelocityControl;12,5;50;3;1,60907;0;5;;15:16:00
VelocityControl;50;200;3;1,53822;0;5;;15:16:12
VelocityControl;100;200;2;1,089087;0;5;;15:16:21
VelocityControl;3,125;50;5;3,603687;0;5;;15:16:44
VelocityControl;37,5;150;3;1,342676;0;5;;15:16:56
VelocityControl;12,5;100;4;1,327783;0;5;;15:17:08
VelocityControl;6,25;100;5;1,987219;0;5;;15:17:22
VelocityControl;12,5;100;4;1,647668;0;5;;15:17:35
VelocityControl;125;250;2;1,231995;0;5;;15:17:45
VelocityControl;18,75;150;4;1,648853;0;5;;15:17:57
VelocityControl;25;50;2;0,9708252;0;5;;15:18:10
VelocityControl;50;200;3;1,608667;0;5;;15:18:23
VelocityControl;150;150;1;0,7354492;0;5;;15:18:32
VelocityControl;18,75;150;4;1,605371;0;5;;15:18:44
VelocityControl;18,75;150;4;1,403589;0;5;;15:18:55
VelocityControl;18,75;150;4;1,570752;0;5;;15:19:07
VelocityControl;15,625;250;5;2,317285;0,2;5;;15:19:23
VelocityControl;200;200;1;0,643042;0;5;;15:19:31
VelocityControl;25;100;3;0,9309326;0;5;;15:19:39
VelocityControl;15,625;250;5;2,274512;0;5;;15:19:55
VelocityControl;25;100;3;1,063916;0;5;;15:20:04
VelocityControl;12,5;200;5;1,756982;0,2;5;;15:20:19
VelocityControl;50;100;2;0,8332764;0;5;;15:20:27
