Control Type;Width;Distance;Difficulty;Average Time;Error Rate;Clicks;Tester;Time Stamp
PositionControl;18.75;150;4;3.253793;0;5;;14:32:31
PositionControl;12.5;200;5;2.306627;0;5;;14:32:48
PositionControl;3.125;50;5;11.64612;0.2;5;;14:33:52
PositionControl;18.75;150;4;2.476358;0;5;;14:34:10
PositionControl;12.5;200;5;2.384895;0;5;;14:34:28
PositionControl;100;100;1;0.8100494;0;5;;14:34:37
PositionControl;15.625;250;5;2.845294;0.2;5;;14:35:00
PositionControl;100;200;2;1.073737;0;5;;14:35:09
PositionControl;15.625;250;5;1.922559;0.2;5;;14:35:24
PositionControl;6.25;100;5;4.156405;0;5;;14:35:52
PositionControl;50;50;1;2.215329;0;5;;14:36:08
PositionControl;250;250;1;1.093649;0;5;;14:36:18
PositionControl;6.25;50;4;3.788239;0;5;;14:36:47
PositionControl;15.625;250;5;4.205249;0;5;;14:37:13
PositionControl;100;200;2;0.8515442;0;5;;14:37:22
PositionControl;25;200;4;2.13382;0;5;;14:37:38
PositionControl;31.25;250;4;1.839252;0;5;;14:37:52
PositionControl;15.625;250;5;4.06972;0.2;5;;14:38:18
PositionControl;200;200;1;0.9170105;0;5;;14:38:27
PositionControl;12.5;50;3;2.619788;0;5;;14:38:50
PositionControl;25;50;2;2.018182;0;5;;14:39:04
PositionControl;25;200;4;1.870062;0;5;;14:39:25
PositionControl;25;50;2;2.903748;0;5;;14:39:45
PositionControl;18.75;150;4;2.332666;0;5;;14:40:04
PositionControl;150;150;1;0.8691406;0;5;;14:40:14
VelocityControl;3.125;50;5;2.230078;0.2;5;;14:40:30
VelocityControl;6.25;100;5;2.347211;0;5;;14:40:46
VelocityControl;50;100;2;0.8283814;0;5;;14:40:54
VelocityControl;25;50;2;0.7040527;0;5;;14:41:02
VelocityControl;50;50;1;0.8171265;0;5;;14:41:10
VelocityControl;125;250;2;1.312427;0;5;;14:41:21
VelocityControl;6.25;50;4;1.456592;0;5;;14:41:33
VelocityControl;50;100;2;0.7254394;0;5;;14:41:40
VelocityControl;75;150;2;0.802893;0;5;;14:41:48
VelocityControl;12.5;100;4;1.286877;0.2;5;;14:41:59
VelocityControl;25;100;3;0.954187;0;5;;14:42:08
VelocityControl;12.5;50;3;0.9000122;0;5;;14:42:16
VelocityControl;9.375;150;5;1.402258;0;5;;14:42:27
VelocityControl;6.25;100;5;2.155359;0;5;;14:42:43
VelocityControl;15.625;250;5;2.270874;0;5;;14:42:58
VelocityControl;125;250;2;1.194116;0;5;;14:43:09
VelocityControl;15.625;250;5;2.301355;0;5;;14:43:24
VelocityControl;100;200;2;0.9620606;0;5;;14:43:33
VelocityControl;150;150;1;0.5135254;0;5;;14:43:39
VelocityControl;12.5;200;5;1.868445;0;5;;14:43:52
VelocityControl;50;100;2;0.6468506;0;5;;14:44:00
VelocityControl;25;50;2;0.6260376;0;5;;14:44:08
VelocityControl;12.5;100;4;1.160278;0;5;;14:44:18
VelocityControl;37.5;150;3;1.062805;0;5;;14:44:27
VelocityControl;12.5;50;3;1.05398;0;5;;14:44:37
AccelerationControl;6.25;100;5;2.292334;0.4;5;;14:44:57
AccelerationControl;250;250;1;1.341846;0;5;;14:45:12
AccelerationControl;100;100;1;1.97063;0;5;;14:45:29
AccelerationControl;37.5;150;3;2.59364;0.2;5;;14:45:48
AccelerationControl;12.5;50;3;1.670483;0.4;5;;14:46:04
AccelerationControl;31.25;250;4;3.229993;0;5;;14:46:28
AccelerationControl;3.125;50;5;1.970203;1;5;;14:46:52
AccelerationControl;9.375;150;5;2.836694;0.4;5;;14:47:10
AccelerationControl;12.5;200;5;2.91521;0.2;5;;14:47:32
AccelerationControl;250;250;1;1.523718;0;5;;14:47:47
AccelerationControl;15.625;250;5;3.153577;0.6;5;;14:48:09
AccelerationControl;25;50;2;1.409729;0;5;;14:48:25
AccelerationControl;250;250;1;1.135352;0;5;;14:48:37
AccelerationControl;62.5;250;3;2.628491;0;5;;14:48:55
AccelerationControl;200;200;1;1.09519;0;5;;14:49:08
AccelerationControl;18.75;150;4;2.682642;0.2;5;;14:49:28
AccelerationControl;50;100;2;1.745703;0;5;;14:49:43
AccelerationControl;150;150;1;1.167676;0;5;;14:49:56
AccelerationControl;3.125;50;5;1.938086;0.8;5;;14:50:14
AccelerationControl;50;100;2;1.762573;0;5;;14:50:28
AccelerationControl;6.25;100;5;2.235645;0.8;5;;14:50:51
AccelerationControl;250;250;1;1.296777;0;5;;14:51:03
AccelerationControl;62.5;250;3;3.095191;0;5;;14:51:24
AccelerationControl;62.5;250;3;2.838428;0;5;;14:51:44
AccelerationControl;100;100;1;1.048755;0;5;;14:51:58
