Control Type;Width;Distance;Difficulty;Average Time;Error Rate;Clicks;Tester;Time Stamp
VelocityControl;37,5;150;3;1,160835;0;5;;17:08:11
VelocityControl;50;200;3;1,680067;0;5;;17:08:23
VelocityControl;37,5;150;3;1,337629;0;5;;17:08:34
VelocityControl;50;100;2;0,7222816;0;5;;17:08:42
VelocityControl;62,5;250;3;1,571121;0;5;;17:08:54
VelocityControl;200;200;1;0,510199;0,2;5;;17:09:00
VelocityControl;50;50;1;0,5248795;0;5;;17:09:08
VelocityControl;50;200;3;1,474567;0;5;;17:09:20
VelocityControl;25;100;3;0,8462738;0;5;;17:09:27
VelocityControl;75;150;2;0,8281509;0;5;;17:09:36
VelocityControl;250;250;1;0,4888306;0;5;;17:09:42
VelocityControl;50;100;2;0,6994659;0;5;;17:09:49
VelocityControl;6,25;100;5;4,102158;0,2;5;;17:10:17
VelocityControl;15,625;250;5;1,807257;0,4;5;;17:10:31
VelocityControl;125;250;2;1,015091;0;5;;17:10:40
VelocityControl;6,25;50;4;2,179413;0;5;;17:10:56
VelocityControl;31,25;250;4;1,720248;0;5;;17:11:10
VelocityControl;100;200;2;1,028125;0;5;;17:11:19
VelocityControl;62,5;250;3;1,455756;0;5;;17:11:31
VelocityControl;200;200;1;0,4211578;0;5;;17:11:36
VelocityControl;37,5;150;3;1,099277;0;5;;17:11:45
VelocityControl;75;150;2;1,024469;0;5;;17:11:54
VelocityControl;25;100;3;0,9019531;0,4;5;;17:12:03
VelocityControl;25;200;4;1,398932;0;5;;17:12:14
VelocityControl;6,25;100;5;1,316846;0,6;5;;17:12:31
AccelerationControl;31,25;250;4;4,057122;0,8;5;;17:14:37
AccelerationControl;6,25;50;4;1,92436;0,6;5;;17:15:02
AccelerationControl;37,5;150;3;2,250897;0;5;;17:15:19
AccelerationControl;15,625;250;5;3,189285;0,8;5;;17:15:40
AccelerationControl;6,25;50;4;1,972479;0,8;5;;17:15:56
AccelerationControl;31,25;250;4;3,447046;0,2;5;;17:16:18
AccelerationControl;200;200;1;1,960141;0;5;;17:16:35
AccelerationControl;25;200;4;2,692996;0,6;5;;17:17:01
AccelerationControl;37,5;150;3;2,679047;0,2;5;;17:17:20
AccelerationControl;150;150;1;0,907431;0;5;;17:17:31
AccelerationControl;18,75;150;4;2,573941;0,6;5;;17:17:49
AccelerationControl;15,625;250;5;2,740555;0,4;5;;17:18:12
AccelerationControl;150;150;1;1,709351;0,2;5;;17:18:26
AccelerationControl;12,5;50;3;1,71814;0,4;5;;17:18:44
AccelerationControl;200;200;1;1,116785;0;5;;17:18:56
AccelerationControl;25;100;3;2,003613;0;5;;17:19:18
AccelerationControl;150;150;1;0,7489807;0;5;;17:19:31
AccelerationControl;50;200;3;2,799951;0;5;;17:19:50
AccelerationControl;125;250;2;2,527545;0;5;;17:20:13
AccelerationControl;62,5;250;3;2,946985;0,2;5;;17:20:42
AccelerationControl;12,5;100;4;1,771246;0,2;5;;17:21:03
AccelerationControl;31,25;250;4;2,902264;0,2;5;;17:21:24
AccelerationControl;3,125;50;5;1,651526;0,8;5;;17:21:41
AccelerationControl;50;50;1;0,7157288;0;5;;17:21:52
AccelerationControl;75;150;2;1,82027;0;5;;17:22:10
PositionControl;15,625;250;5;5,21521;0,2;5;;17:22:52
PositionControl;9,375;150;5;0,4380493;1;5;;17:23:03
PositionControl;125;250;2;0,1883911;0;5;;17:23:07
PositionControl;18,75;150;4;1,090527;1;5;;17:23:18
PositionControl;100;200;2;0,1720825;1;5;;17:23:25
PositionControl;150;150;1;0,1748413;1;5;;17:23:30
PositionControl;12,5;50;3;1,109961;0,8;5;;17:23:42
PositionControl;50;200;3;1,825574;0,4;5;;17:23:57
PositionControl;25;200;4;1,661938;1;5;;17:24:11
PositionControl;125;250;2;0,1826416;0,6;5;;17:24:15
PositionControl;12,5;50;3;0,2222778;1;5;;17:24:25
PositionControl;37,5;150;3;0,3359741;1;5;;17:24:32
PositionControl;18,75;150;4;1,426062;0,8;5;;17:24:47
PositionControl;6,25;50;4;1,694946;0,8;5;;17:25:23
PositionControl;100;200;2;1,452991;0,4;5;;17:25:35
PositionControl;125;250;2;0,174585;0,6;5;;17:25:39
PositionControl;125;250;2;0,3909546;0;5;;17:25:45
PositionControl;31,25;250;4;3,028284;0,2;5;;17:26:05
PositionControl;200;200;1;0,3244141;0;5;;17:26:11
PositionControl;6,25;50;4;2,859204;0,6;5;;17:26:38
PositionControl;50;50;1;1,253113;0,4;5;;17:26:49
PositionControl;100;200;2;1,876782;0,4;5;;17:27:03
PositionControl;12,5;100;4;3,104077;0,4;5;;17:27:24
PositionControl;18,75;150;4;1,976709;0,8;5;;17:27:41
PositionControl;9,375;150;5;2,374439;0,8;5;;17:28:02
